Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),LIVING:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),ATTIC:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),CRAWLSPACE:Zone Windows Total Transmitted Solar Radiation Rate [W](Hourly),LIVING:Zone Mean Air Temperature [C](Hourly),ATTIC:Zone Mean Air Temperature [C](Hourly),CRAWLSPACE:Zone Mean Air Temperature [C](Hourly),FAN:Fan Electricity Rate [W](Hourly),HEATING_RESISTANCE_MAIN:Heating Coil Electricity Rate [W](Hourly)
 10/21  17:00:00,8.166666666666666,3.3083333333333336,3.174710643886616,0.0,0.0,25.156990435284396,13.29850270944924,13.205387862275748,39.97998768410653,3336.7312676476727
 10/21  18:00:00,6.458333333333333,2.5166666666666666,0.0,0.0,0.0,25.32015963681057,10.385550691478995,12.614843961146832,0.0,0.0
 10/21  19:00:00,3.7750000000000004,2.975,0.0,0.0,0.0,24.869849392238127,8.88821123063874,12.283149944877591,28.817074016524348,2405.074075379946
 10/21  20:00:00,1.908333333333333,3.016666666666667,0.0,0.0,0.0,25.98896203245729,7.471624337900809,11.922836250127395,19.071006679431164,1591.6669308548262
 10/21  21:00:00,0.5,2.891666666666667,0.0,0.0,0.0,24.85224198013979,4.43197607266594,11.272422708345815,8.851543695913636,738.7501679708115
 10/21  22:00:00,-0.11666666666666665,2.1666666666666665,0.0,0.0,0.0,25.193507458539262,4.345579723188602,11.91418650675359,28.75627754988487,2400.0
 10/21  23:00:00,-0.375,0.625,0.0,0.0,0.0,25.36384559071162,4.899315480478196,14.214514719058327,45.33377135414539,3783.5582530182005
 10/21  24:00:00,-0.6749999999999999,0.875,0.0,0.0,0.0,25.242097496665185,4.162738515479089,14.190906029072417,48.27023076670412,4028.635265434545
 10/22  01:00:00,-1.9666666666666668,0.625,0.0,0.0,0.0,25.432901364886067,3.111421120703349,13.631760189793448,0.0,0.0
 10/22  02:00:00,-2.1,0.0,0.0,0.0,0.0,25.734785728294728,4.514814291049913,15.668500579886432,50.25508014489578,4194.290868785719
 10/22  03:00:00,-2.241666666666667,0.875,0.0,0.0,0.0,25.30593323731249,3.724175157206528,13.781142897471588,48.320931611775826,4032.866759860797
 10/22  04:00:00,-2.991666666666667,0.625,0.0,0.0,0.0,25.305411581659218,3.463863137788362,13.621184851445946,1.5684085583586869,130.8994369501041
 10/22  05:00:00,-3.1999999999999997,0.0,0.0,0.0,0.0,25.7312617138941,4.725404401732594,15.711957041002691,49.01909389552009,4091.1354101782636
